id,x,y,traffic,pollution,hotspots
0,32.6039,385.785,1.69844,8.5,0.0
1,67.8558,380.65444,1.7306,8.6,0.0
2,67.6903,374.69638,1.74551,8.7,0.0
4,119.82338,404.6523,1.70607,8.9,0.0
6,130.91216,372.37933,1.79989,9.1,0.0
7,142.99376,353.18113,1.88733,9.2,0.0
8,129.58806,348.71258,1.89216,9.3,0.0
9,125.11951,354.67064,1.86028,9.4,0.0
12,166.66042,373.20701,1.82918,9.35712,0.0
13,176.42503,369.89697,1.85185,9.34508,0.0
14,182.7141,343.58217,2.00145,9.24939,0.0
15,161.1989,351.19525,1.92062,9.27707,0.0
19,149.94493,312.79818,2.22776,9.13745,0.37660366068825846
20,190.65843,315.44621,2.36645,9.14708,0.0
22,141.0076,311.4751,2.21374,9.13264,0.0
24,204.2298,371.71752,1.87457,9.3517,0.0
25,202.57478,354.00882,1.96585,9.2873,0.0
27,240.63988,382.30957,1.86915,9.39022,0.0
29,264.80312,384.4611,1.88753,9.39804,0.0
32,228.39285,349.53958,2.04599,9.27105,0.07728358315817467
33,234.84742,340.43697,2.15179,9.23795,0.0
34,230.87538,337.95444,2.16933,9.22893,0.0
36,262.65182,345.89852,2.17214,9.25781,0.0
37,253.0527,351.02908,2.08927,9.27647,0.0
38,244.00206,396.72373,1.81604,9.44263,0.0
42,131.89009,299.00534,2.39621,9.08729,1.1517255046359514
43,123.69816,300.40967,2.32215,9.0924,0.0
44,125.45357,309.42079,2.18739,9.12517,0.0
46,108.6014,293.97346,2.37456,9.06899,0.0
50,157.40195,283.32318,5.4005,9.03027,0.0
51,120.421,290.228,2.5617,9.05537,0.0
55,203.9791,274.54685,2.5795,8.99835,0.0
56,204.79829,269.16359,2.4137,8.97878,0.0
57,195.55312,259.21625,2.26352,8.9426,0.1992050097935429
58,191.10607,234.05535,2.00616,8.85111,0.0
59,179.87147,233.23616,2.02157,8.84813,0.0
60,174.13712,227.26775,1.98911,8.82643,0.23684673488904914
61,164.42384,235.34265,2.07215,8.85579,0.0
62,155.99785,245.05594,2.20403,8.89111,0.0
63,139.73105,247.04541,2.30094,8.89835,0.5748864664999462
64,131.65615,260.03541,2.75894,8.94558,0.0
67,212.17095,275.83431,2.55075,9.00303,0.0
69,202.45767,282.38789,3.04818,9.02687,0.0
72,155.90286,215.73219,1.94588,8.78448,0.14045986181643372
75,163.34992,195.20904,1.83943,8.70985,0.0
76,168.97699,174.10754,1.76479,8.63312,0.0
78,178.82531,225.08272,1.96686,8.81848,6.327781059339155
79,182.5491,209.11182,1.87688,8.76041,0.0
80,178.82531,203.15375,1.85531,8.73874,0.5168006566532165
81,200.67151,168.81205,1.72952,8.61386,0.2674466980673735
82,201.41627,115.60315,1.62814,8.42038,0.0
83,239.67277,85.89825,1.57629,8.31236,0.0
84,270.33397,98.06915,1.58128,8.35662,0.0
86,276.18527,132.94335,1.62533,8.48343,0.0
87,282.50475,160.32775,1.66757,8.58301,0.0
88,254.41815,190.98895,1.75079,8.69451,0.0
89,228.67205,218.37335,1.86544,8.79408,0.0
